index : 1811, hash : 6067615017820841811, depth : 7, score : 456
index : 2166, hash : 13430154094361057166, depth : 6, score : 369
index : 806, hash : 5987241510261965806, depth : 5, score : 336
index : 1626, hash : 2954662429869401626, depth : 6, score : 736
index : 3386, hash : 15886085855913568386, depth : 6, score : 771
index : 1728, hash : 7078229295517131728, depth : 6, score : 1397
index : 3661, hash : 8720708494628728661, depth : 6, score : 9990
index : 1503, hash : 5973844240105266503, depth : 5, score : 9992
index : 3681, hash : 17094081701259038681, depth : 7, score : 202
index : 931, hash : 16580479199266090931, depth : 6, score : 283
index : 3864, hash : 3560752810487883864, depth : 6, score : 283
index : 3576, hash : 6242666966928143576, depth : 7, score : 295
index : 2013, hash : 16114670090311607013, depth : 8, score : 421
index : 1368, hash : 16782075823955446368, depth : 8, score : 431
index : 2565, hash : 14699938156206497565, depth : 6, score : 431
index : 713, hash : 9475239710688725713, depth : 8, score : 451
index : 821, hash : 7500517747811655821, depth : 7, score : 469
index : 3221, hash : 11462131821363358221, depth : 7, score : 570
index : 2953, hash : 6133735228541552953, depth : 7, score : 562
index : 35, hash : 2548405895416710035, depth : 6, score : 578
index : 2629, hash : 2425365596485407629, depth : 6, score : 640
index : 3098, hash : 11516935608275233098, depth : 6, score : 694
index : 1605, hash : 16501085666745001605, depth : 7, score : 852
index : 1362, hash : 6419861343537461362, depth : 7, score : 1003
index : 3217, hash : 4081062096213568217, depth : 7, score : 1697
index : 2956, hash : 7424793508818512956, depth : 7, score : 9992
index : 3651, hash : 6687408357171588651, depth : 6, score : 179
index : 2748, hash : 3129234052124907748, depth : 6, score : 193
index : 3543, hash : 8918572815029788543, depth : 5, score : 252
index : 1534, hash : 3331583182858286534, depth : 6, score : 251
index : 316, hash : 8836977187156360316, depth : 6, score : 401
index : 3083, hash : 3209593157500263083, depth : 7, score : 455
index : 4575, hash : 263842772282724575, depth : 7, score : 938
index : 968, hash : 9379112029817615968, depth : 7, score : 801
index : 1058, hash : 488943522563886058, depth : 7, score : 1277
index : 3437, hash : 12630727145087983437, depth : 6, score : 1277
index : 3733, hash : 4946579337998248733, depth : 5, score : 9994
index : 3812, hash : 15449927253441898812, depth : 6, score : 219
index : 2460, hash : 14309754823692972460, depth : 6, score : 220
index : 978, hash : 15476174545030190978, depth : 5, score : 190
index : 3092, hash : 11307418944980703092, depth : 5, score : 705
index : 4377, hash : 16889593165225909377, depth : 6, score : 728
index : 1866, hash : 341541357161516866, depth : 6, score : 736
index : 2655, hash : 15851008476622152655, depth : 6, score : 749
index : 3099, hash : 10965523923476053099, depth : 6, score : 741
index : 3847, hash : 15150172630591628847, depth : 7, score : 905
index : 662, hash : 2568554715861130662, depth : 7, score : 919
index : 2196, hash : 17810592490640137196, depth : 6, score : 883
index : 1071, hash : 6259038324311596071, depth : 6, score : 906
index : 4863, hash : 14022867808680759863, depth : 6, score : 1363
index : 843, hash : 13618069516946555843, depth : 5, score : 1363
index : 3967, hash : 9540603467112848967, depth : 7, score : 319
index : 1376, hash : 18424273243840731376, depth : 6, score : 223
index : 187, hash : 16131934872548800187, depth : 7, score : 498
index : 4740, hash : 4799838359270854740, depth : 6, score : 524
